Symbol,Name,Price (Intraday)
CARC.BA,Carboclor S.A.,34.45
DYCA.BA,DYCASA Sociedad An�nima,439.50
SHPW.BA,SHAPEWAYS HOLDINGS INC CEDEAR E,"1,945.00"
BNGD.BA,Bunge Global SA,20.00
LONG.BA,Longvie S.A.,36.90
DOME.BA,DOMEC Compa��a de Artefactos Dom�sticos S.A.I.C.y F.,76.00
GARO.BA,Garovaglio y Zorraqu�n S.A.,149.50
ROSE.BA,Instituto Rosenbusch S.A.,122.00
POLL.BA,"Polledo Sociedad Anonima, Industrial, Constructora y Financiera",435.00
COME.BA,Sociedad Comercial del Plata S.A.,190.80
XPD.BA,XP INC CED EACH 2 REPR 1,4.5000
EG01Q.BA,,"90,900.00"
MRVLD.BA,MARVELL TECHNOLOGY INC CEDEAR E,5.20
TDE5X.BA,,"111,000.00"
YMCTO.BA,,"91,000.00"
CS34D.BA,,38.80
TDJ4X.BA,,"115,609.80"
MRCKO.BA,,"87,800.00"
CS38D.BA,,104.80
TLCHO.BA,,"97,900.00"
SE5X.BA,,126.50
TZX25.BA,,158.70
CECOB.BA,CENTRAL COSTANERA SA,407.00
GGBD.BA,GERDAU SA CEDEAR EACH REPR 4 AD,13.10
GMD.BA,GENERAL MOTORS CO CED EACH 20 R,7.90
YMCVD.BA,,96.94
S28F5.BA,,110.35
YMCID.BA,,102.50
MGCHD.BA,,101.50
YMCOO.BA,,"99,900.00"
PNIZF.BA,FCIC REAL ESTATE PUERTO NIZUC,2.0700
RCCJO.BA,,"141,200.00"
PNXCO.BA,,"147,790.00"
TZX6X.BA,,182.02
IRCFD.BA,,85.55
GD29.BA,,"77,770.00"
CRE3W.BA,CRESUD S.A.C.I.F.Y.A.,790.00
MSSAD.BA,,106.10
GN34O.BA,,"35,500.00"
XLEB.BA,SELECT SECTOR SPDR TRUST CEDEAR,"60,581.00"
LECBO.BA,,"137,990.00"
TXM6X.BA,,109.34
YMCID.BA,,102.50
MSSAD.BA,,106.10
GN34O.BA,,"35,500.00"
CECOB.BA,CENTRAL COSTANERA SA,407.00
GGBD.BA,GERDAU SA CEDEAR EACH REPR 4 AD,13.10
LECEO.BA,,"136,900.00"
TZXM6.BA,,109.50
CS43O.BA,,106.90
T2X5.BA,,509.60
YMCQD.BA,,96.60
S12L4.BA,,103.85
DGCE.BA,DISTRIBUIDORA DE GAS DEL CENTRO,"1,211.00"
COIN.BA,"Coinbase Global, Inc.","11,169.50"
HDD.BA,"The Home Depot, Inc.",10.80
ALUAD.BA,Aluar Aluminio Argentino S.A.I.C.,0.7500
GPRK.BA,GeoPark Limited,"14,724.00"
AZND.BA,AstraZeneca PLC,42.00
SE.BA,Sea Limited,"3,007.00"
UNH.BA,UnitedHealth Group Incorporated,"20,460.50"
SQ.BA,"Block, Inc.","4,348.00"
EA.BA,Electronic Arts Inc.,"13,481.00"
JNJD.BA,Johnson & Johnson,9.97
DESPD.BA,"Despegar.com, Corp.",13.95
LAC.BA,Lithium Americas Corp.,"3,634.50"
MRNA.BA,MODERNA INC CEDEAR EACH 19 REP,"8,482.00"
HSYD.BA,The Hershey Company,8.90
WFCD.BA,Wells Fargo & Company,11.70
NKED.BA,"NIKE, Inc.",6.68
UPSTD.BA,"Upstart Holdings, Inc.",4.5300
MOS.BA,The Mosaic Company,"7,801.00"
MGLU3.BA,MAGAZINE LUIZA SA CEDEAR EACH 1,"2,902.00"
PLTR.BA,Palantir Technologies Inc.,"11,458.00"
JNJD.BA,Johnson & Johnson,9.97
QQQ.BA,"Invesco QQQ Trust, Series 1","32,539.00"
INTCD.BA,Intel Corporation,6.25
EWZ.BA,"iShares, Inc. - iShares MSCI Brazil ETF","18,495.00"
MELID.BA,"MercadoLibre, Inc.",13.85
EEMD.BA,ISHARES TRUST CEDEAR EACH 5 REP,8.76
BPD.BA,BP p.l.c.,7.40
IBMD.BA,International Business Machines Corporation,11.85
MUX.BA,MCEWEN MINING INC CEDEAR EACH 2,"6,209.00"
MSTR.BA,MicroStrategy Incorporated,"93,794.00"
DIAD.BA,SPDR DOW JONES INDUSTRIAL AVG E,20.30
ACN.BA,ACCENTURE PLC CEDEAR EACH 75 RE,"5,465.50"
BABAD.BA,Alibaba Group Holding Limited,8.06
UNHD.BA,UnitedHealth Group Incorporated,15.50
GGALD.BA,Grupo Financiero Galicia S.A.,3.0700
ZMD.BA,"Zoom Video Communications, Inc.",1.3300
ABNB.BA,"Airbnb, Inc.","13,696.50"
PYPLD.BA,"PayPal Holdings, Inc.",7.45
MELID.BA,"MercadoLibre, Inc.",13.85
MRNA.BA,MODERNA INC CEDEAR EACH 19 REP,"8,482.00"
UNHD.BA,UnitedHealth Group Incorporated,15.50
PYPLD.BA,"PayPal Holdings, Inc.",7.45
EEMD.BA,ISHARES TRUST CEDEAR EACH 5 REP,8.76
DED.BA,Deere & Company,10.10
WBAD.BA,"Walgreens Boots Alliance, Inc.",4.3500
UPST.BA,"Upstart Holdings, Inc.","6,331.50"
GILDD.BA,"Gilead Sciences, Inc.",18.00
BB.BA,BlackBerry Limited,"1,109.00"
DIAD.BA,SPDR DOW JONES INDUSTRIAL AVG E,20.30
ACN.BA,ACCENTURE PLC CEDEAR EACH 75 RE,"5,465.50"
BABAD.BA,Alibaba Group Holding Limited,8.06
CP34D.BA,,101.40
RACED.BA,FERRARI N V CEDEAR EACH 83 REP,5.65
PAMPC.BA,,1.7500
CP30X.BA,,"90,650.00"
T2X5Z.BA,,0.3950
VSCLD.BA,,101.00
PNVCO.BA,,"127,000.00"
CS34O.BA,,"57,480.00"
TLCFO.BA,,"84,330.00"
S01L4.BA,,105.29
CP31O.BA,,"83,500.00"
PNDCD.BA,,106.35
LND.BA,LANDORE RESOURCES LIMITED,"6,235.50"
VSCFO.BA,,"147,190.00"
TLCLO.BA,,"99,390.00"
TDJ24.BA,,"115,950.00"
CS36O.BA,,"91,500.00"
AAPLB.BA,APPLE INC CEDEAR(REPR 1/10 SHR),"14,442.00"
YPFDB.BA,YPF SOCIEDAD ANONIMA,"27,720.00"
TGSUB.BA,TRANSPORTADORA DE GAS DEL SUR S,"5,133.00"
GGALB.BA,GRUPO FINANCIERO GALICIA SA,"4,176.00"
IRS2W.BA,IRSA INVERSIONES Y REPRESENTACI,"1,097.50"
BA-C.BA,Bank of America Corp,"13,450.00"
CAC8O.BA,,"134,000.00"
BB37D.BA,,"51,900.00"
CS44O.BA,,"136,100.00"
S30G4.BA,,105.70
BPJ25.BA,,"127,880.00"
MRCRO.BA,,"74,000.00"
MRCYD.BA,,99.90
